ASSET,METRIC,REAL_VAL,REAL_Z,PRICE_Z,GAP,STATUS
TRADFIGDE,N/A,0.0,0.0,-0.81,0.0,💸 PURE_SPECULATION
TRADFIJRSH,N/A,0.0,0.0,-1.9,0.0,💸 PURE_SPECULATION
TRADFIMACI,N/A,0.0,0.0,-2.72,0.0,💸 PURE_SPECULATION
TRADFIFGMC,N/A,0.0,0.0,3.38,0.0,💸 PURE_SPECULATION
TRADFITBN,N/A,0.0,0.0,-2.1,0.0,💸 PURE_SPECULATION
TRADFIDAL,N/A,0.0,0.0,1.44,0.0,💸 PURE_SPECULATION
TRADFIPECO,N/A,0.0,0.0,-0.75,0.0,💸 PURE_SPECULATION
TRADFIMKTN,N/A,0.0,0.0,0.22,0.0,💸 PURE_SPECULATION
TRADFIDUK,N/A,0.0,0.0,-1.38,0.0,💸 PURE_SPECULATION
TRADFIHOV,N/A,0.0,0.0,-0.65,0.0,💸 PURE_SPECULATION
TRADFITCHP,N/A,0.0,0.0,1.71,0.0,💸 PURE_SPECULATION
TRADFINUAG,N/A,0.0,0.0,-0.07,0.0,💸 PURE_SPECULATION
TRADFIEPSN,N/A,0.0,0.0,-1.23,0.0,💸 PURE_SPECULATION
TRADFIHUBC,N/A,0.0,0.0,-3.41,0.0,💸 PURE_SPECULATION
TRADFIGHY,N/A,0.0,0.0,-0.97,0.0,💸 PURE_SPECULATION
TRADFICOOT,N/A,0.0,0.0,-1.47,0.0,💸 PURE_SPECULATION
TRADFICTSH,N/A,0.0,0.0,1.51,0.0,💸 PURE_SPECULATION
TRADFIFNGU,N/A,0.0,0.0,1.73,0.0,💸 PURE_SPECULATION
TRADFICFR,N/A,0.0,0.0,1.36,0.0,💸 PURE_SPECULATION
TRADFIPAYO,N/A,0.0,0.0,2.54,0.0,💸 PURE_SPECULATION
TRADFISIMO,N/A,0.0,0.0,2.64,0.0,💸 PURE_SPECULATION
TRADFIBAERW,N/A,0.0,0.0,-1.88,0.0,💸 PURE_SPECULATION
TRADFISMHX,N/A,0.0,0.0,1.81,0.0,💸 PURE_SPECULATION
TRADFISTHO,N/A,0.0,0.0,-2.3,0.0,💸 PURE_SPECULATION
TRADFIISPOW,N/A,0.0,0.0,-0.02,0.0,💸 PURE_SPECULATION
TRADFIIONZ,N/A,0.0,0.0,2.11,0.0,💸 PURE_SPECULATION
TRADFIAPD,N/A,0.0,0.0,-1.72,0.0,💸 PURE_SPECULATION
TRADFIFTMS,N/A,0.0,0.0,-1.95,0.0,💸 PURE_SPECULATION
TRADFIWPP,N/A,0.0,0.0,2.51,0.0,💸 PURE_SPECULATION
TRADFIPOWI,N/A,0.0,0.0,-0.97,0.0,💸 PURE_SPECULATION
TRADFIDTST,N/A,0.0,0.0,1.59,0.0,💸 PURE_SPECULATION
TRADFILINK,N/A,0.0,0.0,1.06,0.0,💸 PURE_SPECULATION
TRADFITAFI,N/A,0.0,0.0,-0.08,0.0,💸 PURE_SPECULATION
TRADFIANIX,N/A,0.0,0.0,0.87,0.0,💸 PURE_SPECULATION
TRADFIGFLW,N/A,0.0,0.0,1.0,0.0,💸 PURE_SPECULATION
TRADFICTW,N/A,0.0,0.0,-0.74,0.0,💸 PURE_SPECULATION
TRADFIIEFA,N/A,0.0,0.0,-2.05,0.0,💸 PURE_SPECULATION
TRADFIJETD,N/A,0.0,0.0,-1.4,0.0,💸 PURE_SPECULATION
TRADFIVGMS,N/A,0.0,0.0,-0.75,0.0,💸 PURE_SPECULATION
TRADFIBAMD,N/A,0.0,0.0,-0.2,0.0,💸 PURE_SPECULATION
TRADFIBHAT,N/A,0.0,0.0,-1.69,0.0,💸 PURE_SPECULATION
TRADFILDP,N/A,0.0,0.0,-1.85,0.0,💸 PURE_SPECULATION
TRADFIMCK,N/A,0.0,0.0,-1.87,0.0,💸 PURE_SPECULATION
TRADFIHIBS,N/A,0.0,0.0,-1.91,0.0,💸 PURE_SPECULATION
TRADFIFSMB,N/A,0.0,0.0,1.54,0.0,💸 PURE_SPECULATION
TRADFIHYD,N/A,0.0,0.0,-1.89,0.0,💸 PURE_SPECULATION
TRADFILABX,N/A,0.0,0.0,0.25,0.0,💸 PURE_SPECULATION
TRADFINFJ,N/A,0.0,0.0,-0.9,0.0,💸 PURE_SPECULATION
TRADFICF,N/A,0.0,0.0,-2.24,0.0,💸 PURE_SPECULATION
TRADFIIJH,N/A,0.0,0.0,-1.85,0.0,💸 PURE_SPECULATION
TRADFIQUSA,N/A,0.0,0.0,-1.54,0.0,💸 PURE_SPECULATION
TRADFIINQQ,N/A,0.0,0.0,-0.72,0.0,💸 PURE_SPECULATION
TRADFIVCTR,N/A,0.0,0.0,-0.88,0.0,💸 PURE_SPECULATION
TRADFIREVG,N/A,0.0,0.0,-2.11,0.0,💸 PURE_SPECULATION
TRADFISUSL,N/A,0.0,0.0,-1.32,0.0,💸 PURE_SPECULATION
TRADFIBLX,N/A,0.0,0.0,1.98,0.0,💸 PURE_SPECULATION
TRADFIEMHC,N/A,0.0,0.0,-2.37,0.0,💸 PURE_SPECULATION
TRADFISCEPG,N/A,0.0,0.0,2.28,0.0,💸 PURE_SPECULATION
TRADFIQQQU,N/A,0.0,0.0,-1.09,0.0,💸 PURE_SPECULATION
TRADFIRNRPG,N/A,0.0,0.0,-2.3,0.0,💸 PURE_SPECULATION
TRADFISFTY,N/A,0.0,0.0,-1.12,0.0,💸 PURE_SPECULATION
TRADFIWTF,N/A,0.0,0.0,2.84,0.0,💸 PURE_SPECULATION
TRADFIEELV,N/A,0.0,0.0,-0.78,0.0,💸 PURE_SPECULATION
TRADFIING,N/A,0.0,0.0,1.21,0.0,💸 PURE_SPECULATION
TRADFINYM,N/A,0.0,0.0,0.51,0.0,💸 PURE_SPECULATION
TRADFICBSH,N/A,0.0,0.0,-2.06,0.0,💸 PURE_SPECULATION
TRADFIWAB,N/A,0.0,0.0,-2.37,0.0,💸 PURE_SPECULATION
TRADFIGBIO,N/A,0.0,0.0,1.59,0.0,💸 PURE_SPECULATION
TRADFIXCUR,N/A,0.0,0.0,2.47,0.0,💸 PURE_SPECULATION
TRADFIRL,N/A,0.0,0.0,-1.56,0.0,💸 PURE_SPECULATION
TRADFIHYP,N/A,0.0,0.0,2.57,0.0,💸 PURE_SPECULATION
TRADFIDOOO,N/A,0.0,0.0,0.19,0.0,💸 PURE_SPECULATION
TRADFIOTH,N/A,0.0,0.0,-1.28,0.0,💸 PURE_SPECULATION
TRADFIDNP,N/A,0.0,0.0,-1.73,0.0,💸 PURE_SPECULATION
TRADFIGLNG,N/A,0.0,0.0,0.54,0.0,💸 PURE_SPECULATION
TRADFIREXR,N/A,0.0,0.0,-1.81,0.0,💸 PURE_SPECULATION
TRADFIYINN,N/A,0.0,0.0,-2.24,0.0,💸 PURE_SPECULATION
TRADFIBIOA,N/A,0.0,0.0,1.61,0.0,💸 PURE_SPECULATION
TRADFIOMCL,N/A,0.0,0.0,1.42,0.0,💸 PURE_SPECULATION
TRADFIOTGAU,N/A,0.0,0.0,-0.11,0.0,💸 PURE_SPECULATION
TRADFIBGLC,N/A,0.0,0.0,1.51,0.0,💸 PURE_SPECULATION
TRADFIOS,N/A,0.0,0.0,-0.52,0.0,💸 PURE_SPECULATION
TRADFIU,N/A,0.0,0.0,1.63,0.0,💸 PURE_SPECULATION
TRADFIGBFH,N/A,0.0,0.0,1.03,0.0,💸 PURE_SPECULATION
TRADFIJYD,N/A,0.0,0.0,-1.72,0.0,💸 PURE_SPECULATION
TRADFIBUR,N/A,0.0,0.0,0.11,0.0,💸 PURE_SPECULATION
TRADFICONY,N/A,0.0,0.0,1.84,0.0,💸 PURE_SPECULATION
TRADFIGPUS,N/A,0.0,0.0,3.21,0.0,💸 PURE_SPECULATION
TRADFICMDY,N/A,0.0,0.0,-1.66,0.0,💸 PURE_SPECULATION
TRADFIADUS,N/A,0.0,0.0,-0.47,0.0,💸 PURE_SPECULATION
TRADFISBXD,N/A,0.0,0.0,-0.35,0.0,💸 PURE_SPECULATION
TRADFIFYBR,N/A,0.0,0.0,-2.34,0.0,💸 PURE_SPECULATION
TRADFITRGP,N/A,0.0,0.0,1.95,0.0,💸 PURE_SPECULATION
TRADFIVFMV,N/A,0.0,0.0,-0.2,0.0,💸 PURE_SPECULATION
TRADFIZIM,N/A,0.0,0.0,-1.77,0.0,💸 PURE_SPECULATION
EDUCOIN,N/A,0.0,0.0,-2.04,0.0,💸 PURE_SPECULATION
TRADFIISSC,N/A,0.0,0.0,2.38,0.0,💸 PURE_SPECULATION
TRADFINICE,N/A,0.0,0.0,1.54,0.0,💸 PURE_SPECULATION
TRADFIONCH,N/A,0.0,0.0,2.14,0.0,💸 PURE_SPECULATION
TRADFIGMEY,N/A,0.0,0.0,0.55,0.0,💸 PURE_SPECULATION
TRADFIEXUS,N/A,0.0,0.0,-0.43,0.0,💸 PURE_SPECULATION
TRADFIXTJA,N/A,0.0,0.0,-0.49,0.0,💸 PURE_SPECULATION
TRADFIZBAO,N/A,0.0,0.0,0.89,0.0,💸 PURE_SPECULATION
TRADFIBON,N/A,0.0,0.0,-2.05,0.0,💸 PURE_SPECULATION
